time_1,u1_1,u2_1,pb_1,sb_1,wb_1,time_2,u1_2,u2_2,pb_2,sb_2,wb_2,time_3,u1_3,u2_3,pb_3,sb_3,wb_3,time_4,u1_4,u2_4,pb_4,sb_4,wb_4,time_5,u1_5,u2_5,pb_5,sb_5,wb_5
0.02024,39.8840493747661,126.864087822185,114782.763174635,1.252956339788e-05,-0.00130276363629076,0.02024,13.7785552775963,39.8840493747661,191605.721445807,0.000233167744511627,-0.0708412052728568,0.02024,78.5859253165099,64.0541836859029,297663.37504096,0.000593363677794212,-0.00393130699967719,0.02024,60.5901517346078,1.23457450594757,237613.212778811,0.000452333133134373,-0.184379041303023,0.02024,159.077954608923,128.935700888112,287884.111614699,0.000514674942297074,0.105419689728588
0.02025,39.8840493747661,128.232174479183,114772.791126166,1.25165548128808e-05,-0.00129876532990219,0.02025,13.4688514858495,39.8840493747661,191315.299666916,0.00023244483357834,-0.0737414893950184,0.02025,77.1078204558682,64.0541836859029,297499.202059387,0.000593324052467986,-0.0039943170910291,0.02025,60.5901517346078,1.20463900357754,237284.504337522,0.000450480193476667,-0.186198556306504,0.02025,159.274299832765,128.935700888112,288096.187440533,0.000515741334035114,0.107850325751666
0.02026,39.8840493747661,129.600261136179,114762.972085188,1.25035912822666e-05,-0.00129380763702651,0.02026,13.1591476941028,39.8840493747661,191030.894943687,0.000231692912800233,-0.0766423537908863,0.02026,75.629715595227,64.0541836859029,297329.547953847,0.000593283779264173,-0.00406097692581751,0.02026,60.5901517346078,1.17470350120753,236958.136735339,0.000448609371095046,-0.187955348651518,0.02026,159.470645056608,128.935700888112,288303.192472178,0.000516831776794923,0.110229354697701
0.02027,39.8840493747661,130.968347793176,114753.209942319,1.2490680867812e-05,-0.00128818519035216,0.02027,12.8494439023561,39.8840493747661,190752.469505716,0.000230912000823997,-0.0795389250892993,0.02027,74.1516107345858,64.0541836859029,297154.445696915,0.000593242819161897,-0.00413176366165159,0.02027,60.5901517346078,1.14476799883751,236634.121876824,0.000446721300215147,-0.189648030338804,0.02027,159.666990280451,128.935700888112,288504.933108612,0.000517945738335565,0.112553546989046
0.02028,39.8840493747661,132.336434450172,114743.46903829,1.24778290421289e-05,-0.00128212157296306,0.02028,12.5397401106094,39.8840493747661,190479.98370471,0.000230102164530725,-0.0824264302646945,0.02028,72.6735058739447,64.0541836859029,296973.806553822,0.000593201129012766,-0.00420704065662241,0.02028,60.5901517346078,1.11483249646749,236312.393849935,0.00044481662853611,-0.19127530093871,0.02028,159.863335504293,128.935700888112,288701.337651432,0.000519082654363981,0.114819730745317
0.02029,39.8840493747661,133.704521107169,114733.7360653,1.24650393621752e-05,-0.00127577863717501,0.02029,12.2300363188627,39.8840493747661,190213.383899221,0.000229263518008024,-0.0853002024102184,0.02029,71.1954010133035,64.0541836859029,296787.941909833,0.00059315866246234,-0.00428706868676231,0.02029,60.5901517346078,1.08489699409748,235993.166207307,0.000442896016326712,-0.192835928088455,0.02029,160.059680728136,128.935700888112,288891.908035906,0.000520241929067408,0.117024743734507
0.0203,39.8840493747661,135.072607764165,114724.006018927,1.24523140151521e-05,-0.00126927083119459,0.0203,11.920332527116,39.8840493747661,189952.608383083,0.000228396221452407,-0.0881556875156806,0.0203,69.7172961526623,64.0541836859029,296599.794429092,0.000593115372880215,-0.00437148530885212,0.0203,60.5901517346078,1.05496149172746,235677.011370405,0.000440960136541136,-0.194328582298145,0.0203,160.256025951979,128.935700888112,289076.233295347,0.000521422934428,0.119165315205691
0.02031,39.8840493747661,136.440694421162,114714.277005915,1.24396542261593e-05,-0.00126267803355996,0.02031,11.6106287353693,39.8840493747661,189697.588576996,0.000227500480015659,-0.0909884493125842,0.02031,68.2391912920211,64.0541836859029,296411.765756581,0.000593071222534267,-0.00445896482684677,0.02031,60.5901517346078,1.02502598935744,235364.158158341,0.000439009675981321,-0.195751848323945,0.02031,160.452371175821,128.935700888112,289254.283219059,0.000522625009760652,0.1212382081462
0.02032,39.8840493747661,137.808781078159,114704.548316676,1.24270605516256e-05,-0.00125605552456766,0.02032,11.3009249436226,39.8840493747661,189448.249272766,0.000226576542604622,-0.0937941737868498,0.02032,66.7610864313799,64.0541836859029,296224.747251905,0.000593026188474073,-0.00454798412604669,0.02032,60.5901517346078,0.995090486987426,235054.59473629,0.000437045335435659,-0.197104359818834,0.02032,160.648716399664,128.935700888112,289426.179045363,0.000523847462637437,0.123240320929186
0.02033,39.8840493747661,139.176867735155,114694.819703924,1.24145330867387e-05,-0.00124944129815572,0.02033,10.9912211518759,39.8840493747661,189204.50887846,0.000225624700637244,-0.096568673414071,0.02033,65.2829815707388,64.0541836859029,296039.058399755,0.000592980262235269,-0.00463719712251667,0.02033,60.5901517346078,0.965154984617409,234748.219926448,0.000435067828838777,-0.198384859570545,0.02033,160.845061623507,128.935700888112,289592.101400034,0.000525089570466232,0.125168726153259
0.02034,39.8840493747661,140.544954392152,114685.091108713,1.24020716107157e-05,-0.00124286128031254,0.02034,10.6815173601291,39.8840493747661,188966.2796643,0.000224645286757659,-0.0993078911179851,0.02034,63.8048767100971,64.0541836859029,295854.806108805,0.000592933447554452,-0.00472551119515353,0.02034,60.5901517346078,0.935219482247381,234444.898932367,0.000433077882053736,-0.199592221094225,0.02034,161.041406847349,128.935700888112,289752.255993415,0.00052635058231997,0.127020685743856
0.02035,39.8840493747661,141.913041049149,114675.362553676,1.2389675688026e-05,-0.00123633300327954,0.02035,10.3718135683824,39.8840493747661,188733.468017596,0.000223638673513066,-0.102007903952713,0.02035,62.3267718494559,64.0541836859029,295672.017794818,0.000592885757885613,-0.00481206949342727,0.02035,60.5901517346078,0.905283979877364,234144.48395697,0.000431076231521503,-0.200725455904694,0.02035,161.237752071192,128.935700888112,289906.860613674,0.000527629720864785,0.128793657039829
0.02036,39.8840493747661,143.281127706145,114665.634099597,1.2377344738715e-05,-0.00122986817438447,0.02036,10.0621097766357,39.8840493747661,188505.974845934,0.000222605271995244,-0.104664926482008,0.02036,60.8486669888147,64.0541836859029,295490.690817865,0.000592837214239482,-0.00489621046742146,0.02036,60.5901517346078,0.875348477507348,233846.821930959,0.000429063622868882,-0.201783715401799,0.02036,161.434097295035,128.935700888112,290056.139973566,0.000528926184328536,0.13048529529817
0.02037,39.8840493747661,144.649214363142,114655.905826561,1.23650780871668e-05,-0.00122347446533428,0.02037,9.75240598488896,39.8840493747661,188283.695689245,0.000221545530449886,-0.107275313857366,0.02037,59.3705621281736,64.0541836859029,295310.810955705,0.000592787843435155,-0.00497742780510939,0.02037,60.5901517346078,0.84541297513733,233551.757507548,0.00042704080950969,-0.202766290651951,0.02037,161.630442518877,128.935700888112,290200.323455826,0.00053023914848553,0.13209345462497
0.02038,39.8840493747661,146.017301020139,114646.177825036,1.23528749958652e-05,-0.00121715675596027,0.02038,9.44270219314226,39.8840493747661,188066.520813721,0.000220459932856054,-0.109835564717113,0.02038,57.8924572675324,64.0541836859029,295132.359390317,0.000592737676721032,-0.00505533701002225,0.02038,60.5901517346078,0.815477472767314,233259.134317562,0.00042500855125316,-0.203672611274745,0.02038,161.82678774272,128.935700888112,290339.643931624,0.000531567768646063,0.133616188078736
